registration number,registration date,application number,application date,authors,authors count,right holders,contact to third parties,program name,creation year,registration publish date,registration publish number,actual,publication URL
2019618092,20190626,2019615033,20190506,"Савельев Сергей Валерьевич (RU)
Шушубаева Мадина Каиргельдиновна (RU)",2,"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Сибирский государственный автомобильно-дорожный университет (СибАДИ)"" (RU)",нет,ОБОСНОВАНИЕ ПАРАМЕТРОВ ДОРОЖНОГО КАТКА С ДВОЙНОЙ ОБЕЧАЙКОЙ ДЛЯ УПЛОТНЕНИЯ ГРУНТОВ,2019,20190626,7,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=2019618092
2019618093,20190626,2019615514,20190517,"Будникова Иветта Константиновна (RU)
Герасимов Василий Леонидович (RU)",2,Федеральное государственное бюджетное образовательное учреждение высшего образования «Казанский государственный энергетический университет»  (ФГБОУ ВО  «КГЭУ») (RU),oplr-kgeu@mail.ru,«Моделирование режимов резания для разных групп обрабатываемого материала»,2019,20190626,7,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=2019618093
2019618094,20190626,2019617096,20190620,Плахотнюк Юрий Алексеевич (RU),1,"Акционерное общество ""Концерн ""Созвездие"" (RU)",нет,Программа генерации файлов макроопераций на основе лексического анализа данных,2018,20190626,7,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=2019618094
2019618095,20190626,2019617095,20190620,Плахотнюк Юрий Алексеевич (RU),1,"Акционерное общество ""Концерн ""Созвездие"" (RU)",нет,Модуль технологического управления многоканальным радиоприемным устройством,2018,20190626,7,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=2019618095
2019618096,20190626,2019617093,20190620,"Перфильев Виталий Васильевич (RU)
Хованских Александр Анатольевич (RU)",2,"Акционерное общество ""Концерн ""Созвездие"" (RU)",нет,Программа управления устройством для измерения параметров приема и передачи аппаратуры радиосвязи,2018,20190626,7,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=2019618096
2019618097,20190626,2019617130,20190618,"Садыкова Елена Владимировна (RU)
Исаев Руслан Богданович (RU)",2,Федеральное государственное автономное образовательное учреждение высшего образования «Санкт-Петербургский государственный электротехнический университет «ЛЭТИ» им. В.И. Ульянова (Ленина)» (СПбГЭТУ «ЛЭТИ») (RU),ETUPLO@yandex.ru,Программа поддержки принятия решений врача при лечении пациентов с оптиконейромиелитом,2019,20190626,7,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=2019618097
2019618098,20190626,2019617212,20190617,Василевский Михаил Михайлович (RU),1,"Общество с ограниченной ответственностью ""КОНСТРУКТОРСКОЕ БЮРО РЕСТАРТ"" (RU)",xdest@mail.ru,"Программа 130RU300 для записи, печати, хранения, передачи фискальных данных и работы в режиме фискального регистратора",2019,20190626,7,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=2019618098
2019618099,20190626,2019617214,20190617,Василевский Михаил Михайлович (RU),1,"Общество с ограниченной ответственностью ""КОНСТРУКТОРСКОЕ БЮРО РЕСТАРТ"" (RU)",xdest@mail.ru,"Программа 180RU300 для записи, печати, хранения, передачи фискальных данных и работы в режиме формирования проездных документов",2019,20190626,7,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=2019618099
2019618100,20190626,2019617196,20190617,"Панферов Николай Сергеевич (RU)
Митрофанов Сергей Владимирович (RU)
Пестряков Ефим Вадимович (RU)
Белых Сергей Анемподистович (RU)
Новиков Николай Николаевич (RU)
Благов Дмитрий Андреевич (RU)",6,Федеральное государственное бюджетное научное учреждение «Федеральный научный агроинженерный центр  ВИМ» (ФГБНУ  ФНАЦ  ВИМ) (RU),нет,Интегрированный программный комплекс по управлению лабораторными средствами автоматизации,2019,20190626,7,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=2019618100
2019618101,20190626,2019617189,20190617,,1,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЭСЭНЭЙЧ МЕЙСТЕРСОФТ"" (RU)",нет,Vector,2019,20190626,7,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=2019618101
2019618102,20190626,2019617098,20190619,"Быков Алексей Сергеевич (RU)
Агеев Денис Александрович (RU)
Мензовитый Алексей Александрович (RU)
Баранов Евгений Александрович (RU)
Сидоров Роман Евгеньевич (RU)
Тимофеев Сергей Викторович (RU)
Курбатов Василий Владимирович (RU)",7,"Акционерное общество  «Научно-исследовательский институт «Масштаб» (RU)
Общество с ограниченной ответственностью ""Научно-технический центр ""ХайТэк"" (RU)","194100, Санкт-Петербург, ул. Кантемировская, 5, литера А, a.buldakova@mashtab.org",Программное обеспечение видеотерминала защищенной видеоконференцсвязи IVA LARGO ДВФТ.30003-01,2019,20190626,7,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=2019618102
2019618103,20190626,2019617097,20190619,Плахотнюк Юрий Алексеевич (RU),1,"Акционерное общество ""Концерн ""Созвездие"" (RU)",нет,Модуль управления сценариями функционального тестирования радиоприемного устройства,2018,20190626,7,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=2019618103
2019618104,20190626,2019617152,20190614,"Ахтямов Азамат Мухтарович (RU)
Маннапова Торгын Мендикуловна (KZ)",2,федеральное государственное бюджетное образовательное учреждение высшего образования «Башкирский государственный университет» (RU),нет,Вычисление собственных частот стержня при различных видах закреплений,2019,20190626,7,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=2019618104
2019618105,20190626,2019617160,20190614,"Ахтямов Азамат Мухтарович (RU)
Маннапова Торгын Мендикуловна (KZ)",2,федеральное государственное бюджетное образовательное учреждение высшего образования «Башкирский государственный университет» (RU),нет,Идентификация вида и параметров закрепления стержня на обоих его концах по двум собственным значениям,2019,20190626,7,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=2019618105
2019618106,20190626,2019616969,20190614,Чикин Роман Валерьевич (RU),1,Чикин Роман Валерьевич (RU),нет,«Программа выявления m-грамм в цифровых информационных последовательностях»,2019,20190626,7,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=2019618106
2019618107,20190626,2019616966,20190614,"Юшков Михаил Евгеньевич (RU)
Юшкова Светлана Сергеевна (RU)",2,Федеральное государственное бюджетное образовательное учреждение высшего образования «Уральский государственный университет путей сообщения» (RU),"89676393777, 8(343)346-37-77, 3eol_triss@inbox.ru",Автоматизированная система контроля сроков доставки грузов на сети железных дорог (АС КСД),2019,20190626,7,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=2019618107
2019618108,20190626,2019616957,20190614,"Гетманов Андрей Николаевич (RU)
Посмитная Лариса Александровна (RU)
Николаев Олег Владимирович (RU)
Барашкина Виктория Викторовна (RU)",4,Федеральное государственное бюджетное образовательное учреждение высшего образования «Кубанский государственный технологический университет» (ФГБОУ ВО «КубГТУ») (RU),"350072, г. Краснодар, ул. Московская, 2, ФГБОУ ВО «КубГТУ», отдел интеллектуальной собственности, начальнику ОИС Н.А.Тихомировой, (861)275-89-88, patent@kubstu.ru",«Программное обеспечение автоматической системы съема и передачи показаний прибора учета расхода воды»,2019,20190626,7,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=2019618108
2019618109,20190626,2019616953,20190614,"Матвеев Валентин Сергеевич (RU)
Касьянов Геннадий Иванович (RU)
Николаев Олег Владимирович (RU)
Колесник Hикита Сергеевич (RU)
Косенко Ольга Викторовна (RU)",5,Федеральное государственное бюджетное образовательное учреждение высшего образования «Кубанский государственный технологический университет» (ФГБОУ ВО «КубГТУ») (RU),"350072, г. Краснодар, ул. Московская, 2, ФГБОУ ВО «КубГТУ», отдел интеллектуальной собственности, начальнику ОИС Н.А.Тихомировой, (861)275-89-88, patent@kubstu.ru",«Программа для прогнозирования биологической ценности продуктов питания для людей умственного труда»,2019,20190626,7,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=2019618109
2019618110,20190626,2019617115,20190614,"Толстых Андрей Андреевич (RU)
Авсентьев Александр Олегович (RU)",2,"Толстых Андрей Андреевич (RU)
Авсентьев Александр Олегович (RU)",нет,«ФОРМИРОВАНИЕ ОБУЧАЮЩЕЙ ВЫБОРКИ ДЛЯ LSTM-СИСТЕМЫ ОБНАРУЖЕНИЯ АНОМАЛИЙ В ТРАФИКЕ И ПОЛУЧЕНИЯ ПЕРВИЧНОЙ СТАТИСТИКИ»,2019,20190626,7,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=2019618110
2019618111,20190626,2019616938,20190614,,1,Общество с ограниченной ответственностью Научно-производственная фирма «Литех» (RU),mkaverina@mail.ru,Программа для идентификации микроорганизмов BactoSCREEN-ID,2015,20190626,7,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=2019618111
2019618112,20190626,2019617040,20190614,"Кожухов Константин Викторович (RU)
Батищев Максим Александрович (RU)
Гусаренко Александр Владимирович (RU)",3,Акционерное общество «Системный оператор Единой энергетической системы» (RU),"109074, Москва, Китайгородский пр-д, 7, стр. 3, Кычин Евгений Александрович, kychin-ea@so-ups.ru, 8-961-005-33-87",Программа для электронных вычислительных машин «Автоматизированная система информационного обеспечения перспективного развития электроэнергетики. Модуль работы с разделом СПР»,2018,20190626,7,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=2019618112
2019618113,20190626,2019617042,20190614,,2,Акционерное общество «Системный оператор Единой энергетической системы» (RU),"109074, Москва, Китайгородский пр-д, 7, стр. 3, Кычин Евгений Александрович, kychin-ea@so-ups.ru, 8-961-005-33-87","Программа для электронных вычислительных машин «Автоматизированная система сбора, обработки, хранения и контроля метеоданных, модуль унифицированных программных интерфейсов API»",2018,20190626,7,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=2019618113
2019618114,20190626,2019617044,20190614,,2,Акционерное общество «Системный оператор Единой энергетической системы» (RU),"109074, Москва, Китайгородский пр-д, 7, стр. 3, Кычин Евгений Александрович, kychin-ea@so-ups.ru, 8-961-005-33-87","Программа для электронных вычислительных машин «Автоматизированная система сбора, обработки, хранения и контроля метеоданных, модуль расчетных функций»",2018,20190626,7,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=2019618114
2019618115,20190626,2019617049,20190614,Кошелев Сергей Олегович (RU),1,Акционерное общество «Системный оператор Единой энергетической системы» (RU),"109074, Москва, Китайгородский пр-д, 7, стр. 3, Кычин Евгений Александрович, kychin-ea@so-ups.ru, 8-961-005-33-87",Программа для электронных вычислительных машин «Расчет допустимых перетоков по сечениям различного оперативного подчинения и межуровневого обмена результатами расчетов для целей балансирующего рынка»,2018,20190626,7,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=2019618115
2019618116,20190626,2019617054,20190614,Кошелев Сергей Олегович (RU),1,Акционерное общество «Системный оператор Единой энергетической системы» (RU),"109074, Москва, Китайгородский пр-д, 7, стр. 3, Кычин Евгений Александрович, kychin-ea@so-ups.ru, 8-961-005-33-87",Программа для электронных вычислительных машин «Enersys СОДП»,2018,20190626,7,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=2019618116
2019618117,20190626,2019617159,20190614,,2,Акционерное общество «Системный оператор Единой энергетической системы» (RU),"Россия, 109074, Москва, Китайгородский проезд, д. 7, стр. 3. Кычин Евгений Александрович. kychin-ea@so-ups.ru, 89610053387","Программа для электронных вычислительных машин «Автоматизированная система сбора, обработки, хранения и контроля метеоданных, модуль оповещений»",2018,20190626,7,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=2019618117
2019618118,20190626,2019617165,20190614,"Кожухов Константин Викторович (RU)
Батищев Максим Александрович (RU)
Гусаренко Александр Владимирович (RU)",3,Акционерное общество «Системный оператор Единой энергетической системы» (RU),"Россия, 109074, Москва, Китайгородский проезд, д. 7, стр. 3, Кычин Евгений Александрович, kvchin-ea@so-ups.rn, 89610053387",Программа для электронных вычислительных машин «Автоматизированная система информационного обеспечения перспективного развития электроэнергетики. Модуль работы с разделом СОТИАССО»,2018,20190626,7,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=2019618118
2019618119,20190626,2019617171,20190614,,2,Акционерное общество «Системный оператор Единой энергетической системы» (RU),"Россия, 109074, Москва, Китайгородский проезд, д. 7, стр. 3. Кычин Евгений Александрович, kychin-ea@so-ups.i и, 89610053387","Программа для электронных вычислительных машин «Автоматизированная система сбора, обработки, хранения и контроля метеоданных, модуль формирования отчетных форм»",2018,20190626,7,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=2019618119
2019618120,20190626,2019617175,20190614,"Кожухов Константин Викторович (RU)
Батищев Максим Александрович (RU)
Гусаренко Александр Владимирович (RU)",3,Акционерное общество «Системный оператор Единой энергетической системы» (RU),"Россия, 109074, Москва, Китайгородский проезд, д . 7, стр. 3, Кычин Евгений Александрович, kychin-ea@so-ups.ru, 89610053387",Программа для электронных вычислительных машин «Автоматизированная система информационного обеспечения перспективного развития электроэнергетики. Модуль формирования отчетных данных»,2018,20190626,7,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=2019618120
2019618121,20190626,2019617205,20190614,Жаров Олег Валериевич (RU),1,Жаров Олег Валериевич (RU),tbo2000@mail.ru,Программа для ЭВМ Best-Searcher,2019,20190626,7,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=2019618121
2019618122,20190626,2019617239,20190614,"Егорова Екатерина Андреевна (RU)
Мальков Александр Анатольевич (RU)
Калабин Александр Леонидович (RU)
Биллиг Владимир Арнольдович (RU)
Артемов Игорь Юрьевич (RU)",5,Федеральное государственное бюджетное образовательное учреждение высшего образования «Тверской государственный технический университет» (ТвГТУ) (RU),нет,Программа для распознавания печатного текста,2019,20190626,7,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=2019618122
2019618123,20190626,2019616698,20190613,"Гуржин Сергей Григорьевич (RU)
Нгуен Вьет Линь (VN)
Шуляков Андрей Валерьевич (RU)",3,Федеральное государственное бюджетное образовательное учреждение высшего образования «Рязанский государственный радиотехнический университет» (RU),gurzhin@mail.ru,"Программа формирования испытательного сигнала в виде световой метки на экране компьютера, имитирующей изменения яркости потока крови в сосудах пациента, для проведения метрологических испытаний датчика фотоплетизмограммы и регистратора пульсовой волны на основе веб-камеры",2019,20190626,7,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=2019618123
2019618124,20190626,2019616697,20190613,"Рыбина Наталья Владимировна (RU)
Алпатов Алексей Викторович (RU)
Мурсалов Станислав Мурсалович (RU)
Вихров Сергей Павлович (RU)
Рыбин Николай Борисович (RU)",5,Федеральное государственное бюджетное образовательное учреждение высшего образования «Рязанский государственный радиотехнический университет» (RU),rgrtu@rsreu.ru,Программа расчета информационно-корреляционных характеристик структуры твердотельных материалов по изображению их поверхности,2019,20190626,7,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=2019618124
2019618125,20190626,2019616685,20190613,"Болдырев Андрей Викторович (RU)
Долинский Илья Олегович (RU)
Задорожный Антон Валерьевич (RU)
Озрин Владимир Драганович (RU)
Тарасов Владимир Иванович (RU)
Чернов Сергей Юрьевич (RU)
Шестак Валерий Евгеньевич (RU)",7,"Российская Федерация, от имени которой выступает Государственная корпорация по атомной энергии «Росатом» (Госкорпорация «Росатом») (RU)",,"Усовершенствованная версия твэльного кода БЕРКУТ, моделирующего поведение в быстрых реакторах твэла с нитридным и оксидным топливом. Версия 2.1 (БЕРКУТ-У/V2.1)",2018,20190626,7,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=2019618125
2019618126,20190626,2019616684,20190613,"Белов Александр Анатольевич (RU)
Бутов Антон Александрович (RU)
Евдокимов Игорь Анатольевич (RU)
Зборовский Вадим Гарольдович (RU)
Киселев Аркадий Евгеньевич (RU)
Кудашов Иван Григорьевич (RU)
Лежнин Сергей Иванович (RU)
Лиханский Владимир Валентинович (RU)
Маслова Людмила Анатольевна (RU)
Прибатурин Николай Алексеевич (RU)
Рыжов Николай Игоревич (RU)
Селезнев Евгений Федорович (RU)
Семенов Владимир Николаевич (RU)
Сорокин Анатолий Александрович (RU)
Тарасов Владимир Иванович (RU)
Томащик Дмитрий Юрьевич (RU)
Улыбышев Константин Евгеньевич (RU)
Усов Эдуард Викторович (RU)
Филиппов Михаил Федорович (RU)
Фокин Алексей Леонидович (RU)
Цаун Сергей Владимирович (RU)
Чалый Руслан Васильевич (RU)",22,"Российская Федерация, от имени которой выступает Государственная корпорация по атомной энергии «Росатом» (Госкорпорация «Росатом») (RU)
Федеральное государственное бюджетное учреждение науки Институт проблем безопасного развития атомной энергетики Российской академии наук (ИБРАЭ РАН) (RU)",нет,Интегральный код для анализа запроектных аварий на АЭС с РУ БН. Версия 2.1 (СОКРАТ-БН/В2.1),2018,20190626,7,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=2019618126
2019618127,20190626,2019616882,20190613,Архангельский Олег Константинович (RU),1,Общество с ограниченной ответственностью «Специальная интеграция» (RU),Тел.: +7(495)727-28-25; e-mail: info_si@specint.ru,"Программное обеспечение АРМ регистратора учебного центра, входящее в состав универсального многофункционального комплекса аттестаций",2019,20190626,7,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=2019618127
2019618128,20190626,2019616887,20190610,"Решетников Сергей Иванович (RU)
Мещеряков Евгений Павлович (RU)",2,Федеральное государственное автономное образовательное учреждение высшего образования «Национальный исследовательский Томский государственный университет» (RU),нет,Программа численного расчета слоев адсорбента в адсорбере для проведения осушки воздуха,2018,20190626,7,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=2019618128
2019618129,20190626,2019616883,20190611,"Белов Сергей Викторович (RU)
Жуков Андрей Петрович (RU)
Пономарев Сергей Васильевич (RU)
Бельков Алексей Викторович (RU)
Азин Антон Владимирович (RU)
Павлов Михаил Сергеевич (RU)",6,Федеральное государственное автономное образовательное учреждение высшего образования «Национальный исследовательский Томский государственный университет» (RU),нет,Программа расчета крупногабаритного ободного сетчатого рефлектора с поиском вантовой формообразующей структуры,2019,20190626,7,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=2019618129
2019618130,20190626,2019616879,20190611,"Петренко Вячеслав Иванович (RU)
Тебуева Фариза Биляловна (RU)
Антонов Владимир Олегович (RU)
Сычков Владислав Борисович (RU)
Кабиняков Михаил Юрьевич (RU)
Бурьянов Андрей Игоревич (RU)",6,Федеральное государственное автономное образовательное учреждение высшего образования «Северо-Кавказский федеральный университет» (RU),Тел. 88652956510; patentncfu@yandex.ru,Программный комплекс экзоскелетного комплекса,2019,20190626,7,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=2019618130
2019618131,20190626,2019616683,20190607,,2,Общество с ограниченной ответственностью «ЛУКОЙЛ-Технологии» (RU),нет,«ИСУ КИК. Очередь 3»,2019,20190626,7,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=2019618131
2019618132,20190626,2019617191,20190607,"Неустроев Сергей Сергеевич (RU)
Зибров Валерий Анатольевич (RU)",2,федеральное государственное бюджетное научное учреждение «Институт управления образованием Российской академии образования» (ИУО РАО) (RU),Тел.: 8(495) 625-20-24; e-mail: iuorao@mail.ru,ПРОГРАММА РАСЧЕТА ПОКАЗАТЕЛЕЙ ОБРАЗОВАТЕЛЬНЫХ ОРГАНИЗАЦИЙ,2017,20190626,7,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=2019618132
